--------- beginning of main
08-08 01:09:42.582 D/MA      (11143): lifecycle foreground connected=false
08-08 01:09:42.632 D/MA      (11143): surfaceCreated
08-08 01:09:42.633 D/MA      (11143): surfaceChanged: 1080x2400
08-08 01:09:42.812 D/SC      (11143): Protocol v1 upgrade accepted
08-08 01:09:42.813 D/SC      (11143): Connected to 127.0.0.1:54321
08-08 01:09:42.813 I/VibeScreenTelemetry(11143): {"schema_version":1,"timestamp_ms":1786122582813,"event":"connection_opened","host":"127.0.0.1","port":54321,"session_epoch":1}
08-08 01:09:42.851 D/MA      (11143): onVideoConfiguration: 1512x982 @ 0° epoch=1
08-08 01:09:42.852 D/MA      (11143): Video config arrived, initializing decoder 1512x982
08-08 01:09:42.852 D/MA      (11143): initializeDecoder called, surface=Surface(name=null mNativeObject=-5476376659840811184)/@0xc54cb15, valid=true, encoded=1512x982
08-08 01:09:42.854 D/VD      (11143): Skipping decoder 'c2.qti.alac.sw.decoder' for video/hevc: codec does not support type
08-08 01:09:42.854 D/VD      (11143): Skipping decoder 'c2.qti.ape.sw.decoder' for video/hevc: codec does not support type
08-08 01:09:42.854 D/VD      (11143): Skipping decoder 'c2.qti.dsd.sw.decoder' for video/hevc: codec does not support type
08-08 01:09:42.854 D/VD      (11143): Skipping decoder 'c2.qti.amrwbplus.hw.decoder' for video/hevc: codec does not support type
08-08 01:09:42.854 D/VD      (11143): Skipping decoder 'c2.qti.amrwb+.hw.decoder' for video/hevc: codec does not support type
08-08 01:09:42.854 D/VD      (11143): Skipping decoder 'c2.qti.wma.hw.decoder' for video/hevc: codec does not support type
08-08 01:09:42.854 D/VD      (11143): Skipping decoder 'c2.qti.alac.hw.decoder' for video/hevc: codec does not support type
08-08 01:09:42.854 D/VD      (11143): Skipping decoder 'c2.qti.ape.hw.decoder' for video/hevc: codec does not support type
08-08 01:09:42.855 D/VD      (11143): Skipping decoder 'c2.android.aac.decoder' for video/hevc: codec does not support type
08-08 01:09:42.855 D/VD      (11143): Skipping decoder 'c2.android.amrnb.decoder' for video/hevc: codec does not support type
08-08 01:09:42.855 D/VD      (11143): Skipping decoder 'c2.android.amrwb.decoder' for video/hevc: codec does not support type
08-08 01:09:42.855 D/VD      (11143): Skipping decoder 'c2.android.flac.decoder' for video/hevc: codec does not support type
08-08 01:09:42.855 D/VD      (11143): Skipping decoder 'c2.android.g711.alaw.decoder' for video/hevc: codec does not support type
08-08 01:09:42.855 D/VD      (11143): Skipping decoder 'c2.android.g711.mlaw.decoder' for video/hevc: codec does not support type
08-08 01:09:42.855 D/VD      (11143): Skipping decoder 'c2.android.iamf.decoder' for video/hevc: codec does not support type
08-08 01:09:42.855 D/VD      (11143): Skipping decoder 'c2.android.mp3.decoder' for video/hevc: codec does not support type
